Massachusetts,41,-35,107
Rhode Island,50.1,-25,104
Wyoming,42,-66,115
New Mexico,52.7,-50,122
Tennessee,57.6,-32,113
South Dakota,45.2,-58,120
Indiana,47.8,-36,116
Arkansas,60.3,-29,120
Kansas,54.3,-40,121
Minnesota,41.2,-60,114
North Dakota,40.4,-60,121
Vermont,42.9,-50,105
Oregon,48.4,-54,119
West Virginia,51.8,-37,112
Montana,42.7,-70,117
Idaho,51.8,-60,118
Nevada,53.4,-50,125
Missouri,63.4,-40,118
Utah,48.6,-69,117
Hawaii,70,12,100
South Carolina,62.4,-19,111
North Carolina,59,-34,110
Maine,47.9,-50,105
Texas,64.8,-23,120
Kentucky,55.6,-37,114
Colorado,45.1,-61,118
Michigan,44.4,-51,112
Ohio,50.7,-39,113
Pennsylvania,48.8,-42,111
Florida,70.7,-2,109
Louisiana,66.4,-16,114
Oklahoma,59.6,-27,120
Mississippi,54.5,-19,115
New Jersey,43.8,-34,110
Iowa,44.4,-47,118
New York,45.4,-52,108
Virginia,55.1,-30,110
Alabama,26.6,-27,112
Delaware,55.3,-17,110
Wisconsin,43.1,-55,114
New Hampshire,49.9,-47,106
Illinois,51.7,-36,117
Arizona,60.4,-40,128
Maryland,54.2,-40,109
Nebraska,48.8,-47,118
California,59.4,-45,134
Washington,48.3,-48,118
Georgia,63.5,-17,112
Connecticut,49,-32,106
Alaska,62.8,-80,100
